subject_id,story,relationship,repeating,alternating,none,understood,pass_attention
058ba3b094fb7b2182f2eccda8727018,feedback,symmetric,4,4,2,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,scheduling,no_info,2,3,4,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,group project,symmetric,2,4,2,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,meeting prep,symmetric,2,4,2,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,weekend,no_info,2,4,4,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,police,asymmetric,5,1,0,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,housemates,asymmetric,5,1,3,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,gifts,asymmetric,4,2,2,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,family meals,asymmetric,4,2,1,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,concerts,asymmetric,4,2,3,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,architects,symmetric,2,4,2,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,groceries,no_info,4,4,4,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,babysitting,no_info,1,3,3,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,restaurant,symmetric,1,5,3,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,coffee,asymmetric,4,2,2,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,meeting location,symmetric,2,4,2,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,fundraising,no_info,2,4,3,yes,TRUE
058ba3b094fb7b2182f2eccda8727018,conversation,no_info,3,3,3,yes,TRUE
259fe299eca9604247186bf825e84bad,weekend,no_info,2,3,3,yes,TRUE
259fe299eca9604247186bf825e84bad,police,asymmetric,4,2,2,yes,TRUE
259fe299eca9604247186bf825e84bad,architects,symmetric,4,3,0,yes,TRUE
259fe299eca9604247186bf825e84bad,meeting prep,symmetric,4,2,0,yes,TRUE
259fe299eca9604247186bf825e84bad,concerts,symmetric,2,4,2,yes,TRUE
259fe299eca9604247186bf825e84bad,group project,symmetric,3,3,1,yes,TRUE
259fe299eca9604247186bf825e84bad,feedback,symmetric,4,4,1,yes,TRUE
259fe299eca9604247186bf825e84bad,groceries,no_info,5,5,1,yes,TRUE
259fe299eca9604247186bf825e84bad,fundraising,no_info,4,4,3,yes,TRUE
259fe299eca9604247186bf825e84bad,restaurant,no_info,3,4,1,yes,TRUE
259fe299eca9604247186bf825e84bad,housemates,asymmetric,NA,2,3,yes,TRUE
259fe299eca9604247186bf825e84bad,scheduling,no_info,3,3,1,yes,TRUE
259fe299eca9604247186bf825e84bad,family meals,asymmetric,3,3,1,yes,TRUE
259fe299eca9604247186bf825e84bad,babysitting,no_info,4,4,1,yes,TRUE
259fe299eca9604247186bf825e84bad,conversation,asymmetric,3,3,NA,yes,TRUE
259fe299eca9604247186bf825e84bad,meeting location,symmetric,3,3,1,yes,TRUE
259fe299eca9604247186bf825e84bad,gifts,asymmetric,4,2,3,yes,TRUE
259fe299eca9604247186bf825e84bad,coffee,asymmetric,4,4,2,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,restaurant,symmetric,2,5,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,concerts,asymmetric,5,1,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,weekend,symmetric,4,2,2,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,fundraising,symmetric,4,4,2,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,meeting location,asymmetric,4,4,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,family meals,no_info,4,4,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,scheduling,symmetric,4,4,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,conversation,no_info,5,1,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,meeting prep,asymmetric,5,1,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,feedback,asymmetric,5,1,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,police,no_info,5,5,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,housemates,no_info,4,4,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,groceries,asymmetric,5,1,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,coffee,no_info,5,5,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,gifts,no_info,5,3,2,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,architects,symmetric,5,1,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,group project,asymmetric,5,1,1,yes,TRUE
bc772ac88cc663a0cafaa7c9be64b4ed,babysitting,symmetric,5,5,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,gifts,asymmetric,3,3,5,yes,TRUE
d72c72fa86a57295a860e37b998e187b,feedback,symmetric,5,5,3,yes,TRUE
d72c72fa86a57295a860e37b998e187b,group project,symmetric,5,5,0,yes,TRUE
d72c72fa86a57295a860e37b998e187b,groceries,no_info,6,6,2,yes,TRUE
d72c72fa86a57295a860e37b998e187b,meeting prep,no_info,5,4,0,yes,TRUE
d72c72fa86a57295a860e37b998e187b,scheduling,no_info,4,4,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,restaurant,no_info,5,5,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,coffee,asymmetric,5,5,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,conversation,asymmetric,5,5,0,yes,TRUE
d72c72fa86a57295a860e37b998e187b,police,symmetric,5,2,0,yes,TRUE
d72c72fa86a57295a860e37b998e187b,babysitting,no_info,5,5,0,yes,TRUE
d72c72fa86a57295a860e37b998e187b,architects,symmetric,6,6,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,concerts,symmetric,5,5,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,weekend,no_info,3,3,2,yes,TRUE
d72c72fa86a57295a860e37b998e187b,meeting location,symmetric,5,5,0,yes,TRUE
d72c72fa86a57295a860e37b998e187b,fundraising,asymmetric,6,5,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,family meals,asymmetric,4,4,1,yes,TRUE
d72c72fa86a57295a860e37b998e187b,housemates,asymmetric,5,1,0,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,gifts,no_info,5,6,1,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,groceries,asymmetric,4,5,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,weekend,symmetric,4,3,4,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,fundraising,symmetric,5,2,3,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,group project,asymmetric,4,2,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,meeting prep,asymmetric,5,2,3,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,concerts,no_info,1,5,1,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,family meals,no_info,2,5,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,architects,symmetric,4,5,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,scheduling,asymmetric,2,4,1,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,feedback,asymmetric,4,5,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,conversation,no_info,2,4,1,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,babysitting,symmetric,2,4,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,restaurant,symmetric,2,4,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,housemates,no_info,2,4,3,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,coffee,symmetric,2,4,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,meeting location,asymmetric,2,4,2,yes,TRUE
acf0b78adc6b44e6841dbf9496223e31,police,no_info,2,4,3,yes,TRUE
08242f49f6588339ce37c66847074815,housemates,symmetric,5,1,2,yes,TRUE
08242f49f6588339ce37c66847074815,coffee,no_info,1,5,0,yes,TRUE
08242f49f6588339ce37c66847074815,weekend,asymmetric,1,1,4,yes,TRUE
08242f49f6588339ce37c66847074815,meeting location,asymmetric,5,1,1,yes,TRUE
08242f49f6588339ce37c66847074815,family meals,no_info,4,4,0,yes,TRUE
08242f49f6588339ce37c66847074815,architects,no_info,5,5,2,yes,TRUE
08242f49f6588339ce37c66847074815,gifts,asymmetric,3,3,2,yes,TRUE
08242f49f6588339ce37c66847074815,concerts,symmetric,1,5,1,yes,TRUE
08242f49f6588339ce37c66847074815,groceries,asymmetric,3,3,3,yes,TRUE
08242f49f6588339ce37c66847074815,restaurant,asymmetric,3,3,3,yes,TRUE
08242f49f6588339ce37c66847074815,scheduling,symmetric,1,5,1,yes,TRUE
08242f49f6588339ce37c66847074815,babysitting,no_info,5,1,4,yes,TRUE
08242f49f6588339ce37c66847074815,group project,symmetric,4,4,5,yes,TRUE
08242f49f6588339ce37c66847074815,meeting prep,asymmetric,5,1,1,yes,TRUE
08242f49f6588339ce37c66847074815,fundraising,symmetric,4,4,4,yes,TRUE
08242f49f6588339ce37c66847074815,police,no_info,1,5,4,yes,TRUE
08242f49f6588339ce37c66847074815,conversation,symmetric,5,5,5,yes,TRUE
08242f49f6588339ce37c66847074815,feedback,no_info,5,5,5,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,meeting location,symmetric,6,6,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,restaurant,asymmetric,4,4,3,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,feedback,no_info,5,5,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,architects,no_info,6,3,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,weekend,asymmetric,0,0,3,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,police,asymmetric,5,3,1,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,conversation,no_info,3,3,3,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,meeting prep,asymmetric,6,1,3,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,coffee,asymmetric,3,3,2,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,housemates,symmetric,6,6,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,babysitting,no_info,6,6,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,concerts,no_info,6,6,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,groceries,symmetric,6,6,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,gifts,asymmetric,5,5,3,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,family meals,no_info,3,3,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,fundraising,symmetric,6,6,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,scheduling,symmetric,3,3,0,yes,TRUE
0482e44db24f2e4b9a712721521f3e5b,group project,symmetric,3,3,0,yes,TRUE
1e897b2331035436b6f66c49927aa9ff,groceries,symmetric,5,5,1,yes,TRUE
1e897b2331035436b6f66c49927aa9ff,gifts,asymmetric,3,1,2,yes,TRUE
